# Time[fs]	ED=0.0012[aJ]	ED=0.0020[aJ]	ED=0.0028[aJ]	ED=0.0035[aJ]
1110.0	9.55879865631E-8	7.81885234389E-7	3.81471127569E-5	8.73617869683E-4
1112.0	9.77135046177E-8	8.27109118743E-7	3.9351014566E-5	8.95686480361E-4
1114.0	9.9780882201E-8	8.76412295566E-7	4.05370379912E-5	9.17620760392E-4
1116.0	1.01939633822E-7	9.25604637367E-7	4.14203833017E-5	9.39932597073E-4
1118.0	1.0425338658E-7	9.84491544402E-7	4.2501017172E-5	9.66863286552E-4
1120.0	1.06383249066E-7	1.07836674299E-6	4.38239801038E-5	9.99460186485E-4
1122.0	1.08715790616E-7	1.17952880139E-6	4.54295417469E-5	0.00103995295576
1124.0	1.11427348165E-7	1.26020088406E-6	4.75874450715E-5	0.00108313121133
1126.0	1.13669867962E-7	1.35933678963E-6	4.91236456211E-5	0.00112269569755
1128.0	1.16158175429E-7	1.45188576401E-6	5.13819895253E-5	0.00115731005757
1130.0	1.184394222E-7	1.54753187411E-6	5.27750000041E-5	0.0011789457519
1132.0	1.20457894616E-7	1.62538407698E-6	5.39262904284E-5	0.00120364861891
1134.0	1.22875354903E-7	1.70914407204E-6	5.57259417533E-5	0.00123091535044
1136.0	1.25632265336E-7	1.82978633479E-6	5.73593183409E-5	0.00126069244116
1138.0	1.28110674246E-7	1.9576396593E-6	5.86410558751E-5	0.00129771223144
1140.0	1.30750454632E-7	2.07467322661E-6	6.00515083679E-5	0.00133227251566
1142.0	1.33501893083E-7	2.21061058389E-6	6.16316385049E-5	0.00137049704542
1144.0	1.35967299463E-7	2.39734559953E-6	6.45204836739E-5	0.00142970862564
1146.0	1.38079270233E-7	2.56550949553E-6	6.81531128885E-5	0.00147676317244
1148.0	1.41085251843E-7	2.7204795047E-6	7.16630228551E-5	0.00152879563908
1150.0	1.44003154686E-7	2.86953878584E-6	7.50122754629E-5	0.00157505221502
1152.0	1.4626423571E-7	3.03456468098E-6	7.79632848938E-5	0.00161857821727
1154.0	1.48281013791E-7	3.18514748094E-6	8.00318080962E-5	0.00165271407469
1156.0	1.51546722598E-7	3.32448402437E-6	8.26390295328E-5	0.00168460153181
1158.0	1.53990929623E-7	3.50212426816E-6	8.50579841911E-5	0.00173042639687
1160.0	1.56290334722E-7	3.63152999587E-6	8.68985357982E-5	0.00178866846269
1162.0	1.59042816434E-7	3.77988589415E-6	8.89601819421E-5	0.00186638090224
1164.0	1.62237267954E-7	3.93930602639E-6	9.08177049934E-5	0.00194040464924
1166.0	1.6562842591E-7	4.10713910523E-6	9.3761888213E-5	0.00202129569083
1168.0	1.68748546037E-7	4.28526925838E-6	9.75100907341E-5	0.00210745572293
1170.0	1.71204899805E-7	4.50233085584E-6	1.01187860189E-4	0.00219072075833
1172.0	1.73758082921E-7	4.68647548483E-6	1.05605895036E-4	0.00225436406714
1174.0	1.76758913368E-7	5.0225610257E-6	1.10260823346E-4	0.00231425465449
1176.0	1.80351623441E-7	5.3356274685E-6	1.13389172036E-4	0.00237969280547
1178.0	1.83727188708E-7	5.70674562617E-6	1.1818975965E-4	0.00245242177668
1180.0	1.86581521614E-7	6.21327676782E-6	1.23019514562E-4	0.00251842984363
1182.0	1.90486519942E-7	6.68511531889E-6	1.28997924106E-4	0.00259942648927
1184.0	1.94051541537E-7	7.21836706267E-6	1.33414249028E-4	0.00266020997692
1186.0	1.97803751002E-7	7.70603119527E-6	1.38097085709E-4	0.00272839034047
1188.0	2.02893339285E-7	8.07719107707E-6	1.43120536475E-4	0.00280192339383
1190.0	2.07714491804E-7	8.46552664721E-6	1.48758768051E-4	0.00287712542291
1192.0	2.12570603529E-7	8.91831680642E-6	1.54484414153E-4	0.00297018656994
1194.0	2.17150141006E-7	9.3609623328E-6	1.60953849084E-4	0.00306027421721
1196.0	2.22275833907E-7	1.00272661062E-5	1.6816121088E-4	0.00312507248317
1198.0	2.26825799135E-7	1.07952486101E-5	1.74543126126E-4	0.00319515262512
1200.0	2.30245554282E-7	1.16073801628E-5	1.82635422608E-4	0.00327219444945
1202.0	2.33565936225E-7	1.29915134657E-5	1.90586132294E-4	0.00335657740615
1204.0	2.3664674036E-7	1.4025404049E-5	1.96632525053E-4	0.00344761573503
