# Time[fs]	ED_cav=0.03[aJ]	ED_free=0.03[aJ]	ED_cav=0.06[aJ]	ED_free=0.06[aJ]	ED_cav=0.11[aJ]	ED_free=0.11[aJ]
996.0	9.63412812524E-6	1.00541189202E-7	0.0017810674097	2.36905040635E-4	0.683522514412	0.745831833289
998.0	9.82440303486E-6	1.03481067282E-7	0.00180606441134	2.36748597661E-4	0.683783996188	0.745819152399
1000.0	9.94309568005E-6	1.03492662777E-7	0.00183721096365	2.36777639815E-4	0.684163376203	0.745872175894
1002.0	1.00571340536E-5	1.03521809314E-7	0.00186384283612	2.37259358314E-4	0.684975302446	0.745939649143
1004.0	1.01570914278E-5	1.03541667572E-7	0.00189823002859	2.37323208093E-4	0.685885377529	0.746288907174
1006.0	1.02248885606E-5	1.05039632278E-7	0.00201476290503	2.37515336973E-4	0.68672177315	0.746496544526
1008.0	1.03014021348E-5	1.0653421465E-7	0.00211686660978	2.37792407806E-4	0.687362539658	0.746673189014
1010.0	1.04251600129E-5	1.06557584934E-7	0.00217978877315	2.38222331809E-4	0.68797786316	0.746830748569
1012.0	1.07036679792E-5	1.06580107472E-7	0.00224136304376	2.39429775711E-4	0.688472437888	0.746976535637
1014.0	1.10766198436E-5	1.065834764E-7	0.00228702561129	2.42874622312E-4	0.688818457505	0.747215267403
1016.0	1.14132749721E-5	1.0658524975E-7	0.00233323450242	2.45138902864E-4	0.689359982023	0.748409329258
1018.0	1.16854925576E-5	1.06587340383E-7	0.00239045629769	2.4710365146E-4	0.689692492663	0.749379993402
1020.0	1.1956781575E-5	1.06973502655E-7	0.00241737943754	2.4925068929E-4	0.69003471707	0.750484559289
1022.0	1.21360476156E-5	1.07390158628E-7	0.00246011861959	2.50233756079E-4	0.690306118468	0.750951761155
1024.0	1.22802665418E-5	1.07424264138E-7	0.0024838930727	2.50433005263E-4	0.690646568461	0.752321365726
1026.0	1.23911394311E-5	1.07426231242E-7	0.00251873473059	2.52704517617E-4	0.691307796724	0.753182161727
1028.0	1.25010069685E-5	1.07483356236E-7	0.00268235128308	2.54705533587E-4	0.691903656739	0.75394330153
1030.0	1.2620192599E-5	1.07548219137E-7	0.00279097686385	2.5500361648E-4	0.692781795245	0.755280544499
1032.0	1.28206469094E-5	1.0767516659E-7	0.00286018408364	2.54827109128E-4	0.693292027224	0.756795336798
1034.0	1.31419110229E-5	1.07866813765E-7	0.00293421147486	2.55097071872E-4	0.693965114296	0.758121359982
1036.0	1.34831217389E-5	1.08172839884E-7	0.00298004154591	2.56069029605E-4	0.694349755421	0.758732645968
1038.0	1.38038471227E-5	1.08406724868E-7	0.00303489873843	2.56826887596E-4	0.694822161705	0.759517832851
1040.0	1.40329980548E-5	1.08411208173E-7	0.00309027466011	2.57944867042E-4	0.695107712492	0.759770001962
1042.0	1.42675616578E-5	1.08412985595E-7	0.0031246067952	2.58830994258E-4	0.695485493485	0.7606641145
1044.0	1.44527549678E-5	1.08413994228E-7	0.00317075991065	2.59067297352E-4	0.695844495318	0.760724180947
1046.0	1.46002142419E-5	1.08415517589E-7	0.00320654120185	2.59989896999E-4	0.696595603491	0.762479718756
1048.0	1.47590216183E-5	1.10329163387E-7	0.00325412969281	2.60015432658E-4	0.697611005648	0.764264389515
1050.0	1.4912137637E-5	1.12282979033E-7	0.00341180223833	2.60067057202E-4	0.698697643739	0.765571863803
1052.0	1.50396609917E-5	1.12481137176E-7	0.00349958668049	2.60251308374E-4	0.699378850162	0.766580695705
1054.0	1.52403433637E-5	1.12630356511E-7	0.00357540617508	2.60525530821E-4	0.700242252348	0.768934021837
1056.0	1.55617126265E-5	1.12631399403E-7	0.00363401334265	2.6120327713E-4	0.700986536849	0.769290671357
1058.0	1.59772386251E-5	1.1300765244E-7	0.00368740362219	2.61714989704E-4	0.70156080311	0.770428077325
1060.0	1.64320072013E-5	1.13382998379E-7	0.00372756415933	2.61833629672E-4	0.702043283838	0.770948149088
1062.0	1.6830339062E-5	1.13383811298E-7	0.00376422701578	2.6206297419E-4	0.702383188102	0.770911108967
1064.0	1.72147419123E-5	1.13386323242E-7	0.0038017192151	2.63763811617E-4	0.702557544856	0.771140305347
1066.0	1.74889783747E-5	1.1339445965E-7	0.00383348166391	2.64675975495E-4	0.702872032071	0.77114238997
1068.0	1.77332181332E-5	1.13401122726E-7	0.00387404010683	2.64727753753E-4	0.703885423816	0.771251235223
1070.0	1.79127943686E-5	1.13461711224E-7	0.00392869834806	2.65750088156E-4	0.705039533875	0.772022956333
1072.0	1.80654067545E-5	1.13523606832E-7	0.00411248426696	2.66464481738E-4	0.705966355101	0.774298716985
1074.0	1.82471476787E-5	1.13535189509E-7	0.00420387317518	2.66661185304E-4	0.707025267822	0.774485735168
1076.0	1.85847738132E-5	1.1382226864E-7	0.00429901803081	2.66647696791E-4	0.707735719894	0.775013170412
1078.0	1.90340470732E-5	1.14099357859E-7	0.00435978222213	2.66701588806E-4	0.708706420503	0.775090739655
1080.0	1.94803843499E-5	1.14100614185E-7	0.00441705900064	2.67413804816E-4	0.709298961501	0.775680616417
1082.0	1.99827668388E-5	1.14237459129E-7	0.00445636993649	2.69391573376E-4	0.709827454304	0.776064332043
1084.0	2.03737881724E-5	1.14516443138E-7	0.00449307312973	2.7374753181E-4	0.710173170538	0.776544178904
1086.0	2.08108420608E-5	1.14662936549E-7	0.00452572072993	2.77442960236E-4	0.710414757138	0.776648997369
1088.0	2.11232690047E-5	1.15208804877E-7	0.00456332881026	2.7974177789E-4	0.710951879324	0.777437134352
1090.0	2.13842225162E-5	1.15749758527E-7	0.00460652699677	2.82939447312E-4	0.711811351776	0.777731804452
1092.0	2.16201677932E-5	1.15749887656E-7	0.00465970689295	2.84778586795E-4	0.712611225167	0.778051597151
1094.0	2.18641173972E-5	1.15750299463E-7	0.00478580965655	2.85612647603E-4	0.713592058945	0.778646653406
1096.0	2.20932466554E-5	1.15751525393E-7	0.0049014197939	2.86211264653E-4	0.714553781368	0.779026561717
1098.0	2.24042725892E-5	1.15759853209E-7	0.00499296314829	2.86914702316E-4	0.71537701602	0.779184226967
1100.0	2.28521298664E-5	1.16043975034E-7	0.00505156769257	2.88765815387E-4	0.715985889268	0.779405604458
1102.0	2.32561895856E-5	1.1631963575E-7	0.00511410948003	2.9086658662E-4	0.716595447058	0.779445277591
1104.0	2.36317247632E-5	1.16320765136E-7	0.00517706945649	2.92385400792E-4	0.716899134184	0.779632098682
1106.0	2.38948937213E-5	1.16321078726E-7	0.00522725858983	2.95322382239E-4	0.717296811211	0.779752052713
1108.0	2.41879288308E-5	1.16321898819E-7	0.00527052570349	2.95310617422E-4	0.71755310905	0.779833030166
1110.0	2.43979672284E-5	1.16340262569E-7	0.00530672801558	2.9705395244E-4	0.717927409669	0.779985911038
1112.0	2.45784135057E-5	1.16369027602E-7	0.00533707101721	2.97344302591E-4	0.718650997817	0.780298862734
1114.0	2.47845620411E-5	1.16380297835E-7	0.00538457287869	2.97866057975E-4	0.719505260411	0.780664255672
1116.0	2.50262030208E-5	1.16384045327E-7	0.00552966444493	2.98784995911E-4	0.720264473354	0.780953213981
1118.0	2.52141478672E-5	1.16406897843E-7	0.00565093542585	2.99163788509E-4	0.720977308645	0.781492560241
1120.0	2.54260521034E-5	1.16461775907E-7	0.00575834844007	2.9926748468E-4	0.72161580964	0.78186778186
1122.0	2.58355653335E-5	1.16500008089E-7	0.00582062198888	2.99905684105E-4	0.722083903046	0.782149194609
